Phenotype,MeSH Heading/Name of Substance,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Notes,Heading Mapped to
LACRIMAL DUCT DEFECT,,,,,,,,,,,,,,,,,,,,,,,,
LACRIMOAURICULODENTODIGITAL SYNDROME,Lacrimoauriculodentodigital syndrome,C07.650.800,C07.793.700,C16.131.850.800,C09.218.458.341,C10.597.751.418.341,C23.888.592.763.393.341,C05.116.099.370.894.819,C05.660.585.800,C05.660.906.819,C16.131.621.585.800,C16.131.621.906.819,C16.131.077,C11.496,,,,,,,,,,"*Tooth Abnormalities;*Hearing Loss;*Syndactyly;*Abnormalities, Multiple;*Lacrimal Apparatus Diseases"
LARSEN SYNDROME,Larsen Syndrome,C05.116.099.708,C16.320.728,,,,,,,,,,,,,,,,,,,,,*Osteochondrodysplasias
"TOOTH AGENESIS, SELECTIVE, 4","Tooth Agenesis, Selective, 4",C07.650.800,C07.793.700,C16.131.850.800,,,,,,,,,,,,,,,,,,,PROM    Agenesis of  succedaneous teeth may result from homozygosity of the gene determining small/pegged/missing maxillary lateral incisors;  both concepts may be related to mutations in WNT10A,*Tooth Abnormalities
LENZ-MAJEWSKI HYPEROSTOTIC DWARFISM,Lenz Majewski hyperostotic dwarfism,C05.116.099,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C16.131.077,,,,,,,,,,,,,,,,,"*Bone Diseases, Developmental;*Intellectual Disability;*Abnormalities, Multiple"
"PLATYSPONDYLIC LETHAL SKELETAL DYSPLASIA, TORRANCE TYPE","Platyspondylic Lethal Skeletal Dysplasia, Torrance Type",C05.116.099.343.110.500,C05.116.099.708.017.500,C05.660.585.984,C16.131.621.585.984,C16.320.240.500.500,C16.614.890,,,,,,,,,,,,,,,,,*Thanatophoric Dysplasia
LEUKONYCHIA TOTALIS,Leukonychia totalis,C17.800.621.440,C17.800.529,,,,,,,,,,,,,,,,,,,,A rare hereditary condition characterized by hypopigmentation of the NAILS. Mutations in the PLCD1 gene have been identified. OMIM: 151600,*Hypopigmentation;Nail Diseases/*congenital
LI-FRAUMENI SYNDROME 1,Sarcoma family syndrome of Li and Fraumeni,C04.700.600,C16.320.700.600,C18.452.284.520,,,,,,,,,,,,,,,,,,,,*Li-Fraumeni Syndrome
LYMPHEDEMA-DISTICHIASIS SYNDROME,Lymphedema distichiasis syndrome,C15.604.496,A01.456.505.420.504.421,A09.371.337.338,A17.360.421,,,,,,,,,,,,,,,,,,"An autosomal dominant disorder that presents as lymphedema of the limbs and double rows of eyelashes (distichiasis). Irritation of the CORNEA, with corneal ulceration in some cases, brings the patients to the attention of ophthalmologists. Other complications may include cardiac defects, VARICOSE VEINS, ptosis, spinal extradural cysts, and PHOTOPHOBIA. Mutations in the FOXC2 gene have been identified. OMIM: 153400",*Lymphedema;Eyelashes/*abnormalities
CHROMOSOME 5q DELETION SYNDROME,Chromosome 5q Deletion Syndrome,C15.378.071.252,A11.284.187.520.300.280.290,G05.360.162.520.300.280.290,C23.550.210.050.500.500,G05.355.600.800.180,G05.365.590.029.530.175,G05.365.590.175.050.500.500,G05.365.590.762.180,G05.700.131.500.500,,,,,,,,,,,,,"A MYELODYSPLASTIC SYNDROME that arises from a defect in erythroid differentiation. Patients present with severe macrocytic anemia, normal or elevated PLATELET counts, normal or reduced NEUTROPHIL counts, erythroid hypoplasia in the BONE MARROW, and hypolobated micromegakaryocytes. A somatic deletion of the RPS14 gene has been identified. OMIM: 153550","*Anemia, Macrocytic;Chromosomes, Human, Pair 5;*Chromosome Deletion"
FECHTNER SYNDROME,MYH9-Related Disorders,C09.218.458.341.887,C10.597.751.418.341.887,C23.888.592.763.393.341.887,C15.378.140.855,,,,,,,,,,,,,,,,,,"A spectrum of disorders caused by mutations in the MYH9 gene (OMIM: 160775) and characterized by thrombocytopenia, large platelets, and distinct lleukocyte inclusions (Dohle-like bodies); sensorineural deafness, CATARACTS, and NEPHRITIS may also occur.","*Hearing Loss, Sensorineural;Thrombocytopenia/*congenital"
